sample,category,value
TRCC3,Fusion Partner,X-autosome
TRCC4,Fusion Partner,X-inv
TRCC5,Fusion Partner,X-inv
TRCC6,Fusion Partner,X-autosome
TRCC7,Fusion Partner,X-inv
TRCC8,Fusion Partner,X-autosome
TRCC9,Fusion Partner,X-autosome
TRCC10,Fusion Partner,X-autosome
TRCC11,Fusion Partner,X-autosome
TRCC12_pre,Fusion Partner,X-autosome
TRCC12_post,Fusion Partner,X-autosome
TRCC13,Fusion Partner,X-autosome
TRCC14,Fusion Partner,X-autosome
TRCC15,Fusion Partner,X-autosome
TRCC17,Fusion Partner,X-autosome
TRCC18_pri_tum,Fusion Partner,X-autosome
