symbol	chromosome	start	end	
ABI1	chr10	26746593	26861087	
ABL1	chr9	130713016	130887675	
ABL2	chr1	179099330	179229684	
ACKR3	chr2	236567787	236582354	
ACSL3	chr2	222860942	222944639	
ACVR1	chr2	157736251	157876330	
ACVR2A	chr2	147844517	147930826	
AFDN	chr6	167826911	167972023	
AFF1	chr4	86935002	87141039	
AFF3	chr2	99545419	100192428	
AFF4	chr5	132875395	132963634	
AKT1	chr14	104769349	104795751	
AKT2	chr19	40230317	40285536	
ALK	chr2	29192774	29921586	
AMER1	chrX	64185117	64205708	
APC	chr5	112707498	112846239	
APOBEC3B	chr22	38982347	38992804	
AR	chrX	67544021	67730619	
ARHGAP26	chr5	142770377	143229011	
ARHGAP35	chr19	46860997	47005077	
ARHGEF12	chr11	120336413	120489937	
ARID1A	chr1	26693236	26782104	
ARID1B	chr6	156776020	157210779	
ARID2	chr12	45729706	45908040	
ARNT	chr1	150809713	150876708	
ASPSCR1	chr17	81976807	82017406	
ASXL1	chr20	32358330	32439319	
ATF1	chr12	50763710	50821162	
ATIC	chr2	215311956	215349773	
ATM	chr11	108223044	108369102	
ATP1A1	chr1	116372668	116410261	
ATP2B3	chrX	153517642	153582939	
ATR	chr3	142449007	142578733	
ATRX	chrX	77504880	77786233	
AXIN1	chr16	287440	352723	
AXIN2	chr17	65528563	65561648	
B2M	chr15	44711358	44718851	
BAP1	chr3	52401008	52410008	
BARD1	chr2	214725646	214809683	
BAX	chr19	48954815	48961798	
BCDIND3	chr12	49836043	49843106	 
BCL10	chr1	85265776	85276632	
BCL11A	chr2	60450520	60554467	
BCL11B	chr14	99169287	99272197	
BCL2	chr18	63123346	63320128	
BCL3	chr19	44747705	44760044	
BCL6	chr3	187721377	187745725	
BCL7A	chr12	122019422	122062044	
BCL9	chr1	147541501	147626216	
BCL9L	chr11	118893875	118925926	
BCOR	chrX	40049815	40177329	
BCORL1	chrX	129981107	130058071	
BCR	chr22	23179704	23318037	
BIRC3	chr11	102317450	102339403	
BLM	chr15	90717346	90816166	
BMPR1A	chr10	86756601	86932825	
BRAF	chr7	140719327	140924929	
BRCA1	chr17	43044295	43170245	
BRCA2	chr13	32315086	32400268	
BRD3	chr9	134030305	134068535	
BRD4	chr19	15235519	15332545	
BRIP1	chr17	61679139	61863559	
BTG1	chr12	92140278	92145846	
BTK	chrX	101349338	101390796	
BUB1B	chr15	40161023	40221123	
CACNA1D	chr3	53328963	53813733	
CALR	chr19	12938578	12944489	
CAMTA1	chr1	6785454	7769706	
CANT1	chr17	78991716	79009867	
CARD11	chr7	2906142	3043867	
CASP8	chr2	201233443	201361836	
CBFA2T3	chr16	88874858	88977207	
CBFB	chr16	67028984	67101058	
CBLB	chr3	105655461	105869552	
CBLC	chr19	44777869	44800652	
CBL	chr11	119206298	119313926	
CCDC6	chr10	59788747	59906556	
CCNB1IP1	chr14	20311368	20333312	
CCND1	chr11	69641156	69654474	
CCND2	chr12	4269771	4305353	
CCND3	chr6	41934934	42050357	
CCNE1	chr19	29811991	29824312	
CD274	chr9	5450503	5470566	
CD74	chr5	150401637	150412969	
CD79A	chr19	41877279	41881372	
CD79B	chr17	63928740	63932336	
CDC73	chr1	193121983	193254815	
CDH11	chr16	64943753	65126112	
CDH1	chr16	68737292	68835537	
CDK12	chr17	39461486	39564907	
CDK4	chr12	57747727	57756013	
CDK6	chr7	92604921	92836573	
CDKN1B	chr12	12685498	12722369	
CDKN2A	chr9	21967752	21995301	
CDKN2C	chr1	50960745	50974634	
CDX2	chr13	27960918	27969315	
CEBPA	chr19	33299934	33302534	
CHCHD7	chr8	56211686	56218809	
CHD4	chr12	6570082	6614524	
CHEK2	chr22	28687743	28742422	
CIC	chr19	42268537	42295797	
CIITA	chr16	10866222	10943021	
CLIP1	chr12	122271432	122422669	
CLTC	chr17	59619689	59696956	
CLTCL1	chr22	19179473	19291719	
CNBP	chr3	129167827	129183922	
CNOT3	chr19	54137749	54155681	
CNTRL	chr9	121074660	121177729	
COL1A1	chr17	50184101	50201632	
COL2A1	chr12	47972967	48004554	
CREB1	chr2	207529737	207605988	
CREB3L1	chr11	46277662	46321409	
CREB3L2	chr7	137874979	138002086	
CREBBP	chr16	3725054	3880713	
CRLF2	chrX	1187549	1212723	
CRTC1	chr19	18683678	18782333	
CRTC3	chr15	90529923	90645345	
CSF3R	chr1	36466043	36483278	
CTCF	chr16	67562467	67639177	
CTNNB1	chr3	41194741	41260096	
CUX1	chr7	101815904	102283958	
CXCR4	chr2	136114349	136119177	
CYLD	chr16	50742050	50801935	
DAXX	chr6	33318558	33323016	
DCTN1	chr2	74361154	74392087	
DDB2	chr11	47214465	47239217	
DDIT3	chr12	57516588	57521737	
DDR2	chr1	162631373	162787405	
DDX10	chr11	108665058	108940999	
DDX3X	chrX	41333348	41364472	
DDX5	chr17	64498254	64508199	
DDX6	chr11	118747763	118791164	
DEK	chr6	18223860	18264548	
DICER1	chr14	95086228	95158010	
DNAJB1	chr19	14514769	14560391	
DNM2	chr19	10718055	10833488	
DNMT3A	chr2	25227855	25342590	
DROSHA	chr5	31400494	31532196	
EBF1	chr5	158695916	159099916	
EGFR	chr7	55019017	55211628	
EIF3E	chr8	108162787	108443496	
EIF4A2	chr3	186783205	186789897	
ELF4	chrX	130063955	130110716	
ELK4	chr1	205597556	205632011	
ELL	chr19	18442663	18522116	
EML4	chr2	42169353	42332548	
EP300	chr22	41092592	41180077	
EPAS1	chr2	46293667	46386697	
EPS15	chr1	51354263	51519266	
ERBB2	chr17	39687914	39730426	
ERBB3	chr12	56076799	56103505	
ERBB4	chr2	211375717	212538841	
ERC1	chr12	990509	1495933	
ERCC2	chr19	45349837	45370918	
ERCC3	chr2	127257290	127294166	
ERCC4	chr16	13920138	13952348	
ERCC5	chr13	102845831	102875995	
ERG	chr21	38380027	38661780	
ESR1	chr6	151656691	152129619	
ETNK1	chr12	22625075	22690665	
ETV1	chr7	13891229	13991425	
ETV4	chr17	43527844	43579620	
ETV5	chr3	186046314	186110318	
ETV6	chr12	11649674	11895377	
EWSR1	chr22	29268009	29300525	
EXT1	chr8	117794490	118111826	
EXT2	chr11	44095648	44251962	
EZH2	chr7	148807257	148884321	
EZR	chr6	158765741	158819368	
FANCA	chr16	89726683	89816977	
FANCC	chr9	95099054	95426796	
FANCD2	chr3	10026370	10101932	
FANCE	chr6	35452338	35467104	
FANCF	chr11	22622533	22625823	
FANCG	chr9	35073835	35080004	
FAS	chr10	88953813	89029605	
FAT1	chr4	186587794	186726722	
FAT4	chr4	125314918	125492932	
FBXO11	chr2	47789316	47906498	
FBXW7	chr4	152320544	152536092	
FCGR2B	chr1	161663143	161678654	
FCRL4	chr1	157573747	157598085	
FES	chr15	90883695	90895776	
FEV	chr2	218981087	218985184	
FGFR1	chr8	38400215	38468834	
FGFR1OP2	chr12	26938470	26966650	
FGFR2	chr10	121478332	121598458	
FGFR3	chr4	1793293	1808872	
FGFR4	chr5	177086905	177098144	
FH	chr1	241497511	241519799	
FHIT	chr3	59747277	61251459	
FIP1L1	chr4	53377641	53460862	
FLCN	chr17	17212212	17237188	
FLI1	chr11	128686535	128813267	
FLT3	chr13	28003274	28100592	
FLT4	chr5	180601506	180649624	
FOXA1	chr14	37589552	37596059	
FOXL2	chr3	138944224	138947137	
FOXO1	chr13	40555667	40666641	
FOXO3	chr6	108559835	108684774	
FOXO4	chrX	71095851	71103532	
FOXP1	chr3	70954693	71583978	
FSTL3	chr19	676392	683392	
FUBP1	chr1	77944055	77979110	
FUS	chr16	31180138	31191605	
GAS7	chr17	9910606	10198606	
GATA1	chrX	48786540	48794311	
GATA2	chr3	128479427	128493201	
GATA3	chr10	8045378	8075198	
GNA11	chr19	3094362	3123999	
GNAQ	chr9	77716097	78031811	
GNAS	chr20	58839718	58911192	
GNPTG	chr16	1351931	1365737	
GOLGA5	chr14	92794305	92839947	
GOPC	chr6	117560269	117602542	
GPC3	chrX	133535745	133987100	
GPHN	chr14	66507407	67181803	
GRIN2A	chr16	9753404	10182928	
H3-3A	chr1	226061851	226072019	
H3-3B	chr17	75776434	75785893	
H3C2	chr6	26031589	26032099	
H4C9	chr6	27139282	27139678	
HERPUD1	chr16	56932142	56944864	
HEY1	chr8	79762371	79767857	
HIF1A	chr14	61695513	61748259	
HIP1	chr7	75533298	75738962	
HLA-A	chr6	29941260	29945884	
HLF	chr17	55264960	55325187	
HMGA1	chr6	34236873	34246231	
HMGA2	chr12	65824460	65966291	
HNF1A	chr12	120978543	121002512	
HNRNPA2B1	chr7	26171151	26201529	
HOOK3	chr8	42896946	43030535	
HOXA11	chr7	27181157	27185232	
HOXA13	chr7	27193503	27200091	
HOXA9	chr7	27162438	27175180	
HOXC11	chr12	53973126	53977643	
HOXC13	chr12	53938831	53946544	
HOXD11	chr2	176104216	176109754	
HOXD13	chr2	176092721	176095944	
HRAS	chr11	532242	537321	
HSP90AA1	chr14	102080742	102139699	
HSP90AB1	chr6	44246166	44253888	
IDH1	chr2	208236229	208266074	
IDH2	chr15	90083045	90102477	
