WRN	chr8	31033788	31176138
RNF43	chr17	58353676	58417595
BRCA2	chr13	32315086	32400268
ATM	chr11	108222832	108369102
ARID1A	chr1	26693236	26782104
CDKN2A	chr9	21967752	21995301
CDKN2B	chr9	22002903	22009305
FAT1	chr4	186587794	186726722
TERT	chr5	1253147	1295068
SMARCA4	chr19	10960932	11079426
AKAP3	chr12	4615508	4649051
ARID2	chr12	45729706	45908040
ATRAID	chr2	27212041	27217178
ATXN2	chr12	111443485	111599676
CCT4	chr2	61868085	61888671
CFHR5	chr1	196975010	197009678
COL28A1	chr7	7356203	7535873
CXCR2	chr2	218125289	218137251
DNAJC11	chr1	6634168	6701924
FDXR	chr17	74862497	74873031
HELZ2	chr20	63558086	63574239
IL16	chr15	81159575	81314058
INPP5J	chr22	31122731	31134697
KDM3B	chr5	138352685	138437028
KRT72	chr12	52585589	52601538
PASD1	chrX	151563675	151676739
PHF1	chr6	33410399	33416453
PITRM1	chr10	3137728	3172841
PRDM15	chr21	41798225	41879482
PURA	chr5	140107777	140125619
RBM26	chr13	79311824	79406477
RNMT	chr18	13726660	13764556
SNX20	chr16	50666300	50681353
USP24	chr1	55066359	55215364
ZSWIM2	chr2	186827475	186849208
ADGRV1	chr5	90529344	91164437
ARMT1	chr6	151452258	151470101
CARMIL3	chr14	24052009	24069729
CFAP206	chr6	87407972	87464465
OR2T2	chr1	248445512	248455725
TFE3	chrX	49028726	49043410
