name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,score,name2,cdsStartStat,cdsEndStat,exonFrames
ENST00000399012.6,chrX,+,276321,303353,284187,299335,8,"276321,281481,284166,288732,290647,291498,293034,299096,","276394,281684,284314,288869,290776,291654,293218,303353,",0,PLCXD1,cmpl,cmpl,"-1,-1,0,1,0,0,0,1,"
ENST00000484611.7,chrX,+,276323,291537,276323,276323,5,"276323,284166,288732,290647,291498,","276394,284314,288869,290792,291537,",0,PLCXD1,none,none,"-1,-1,-1,-1,-1,"
ENST00000430923.7,chrX,+,276352,291629,284187,291629,5,"276352,284166,288732,290647,291498,","276394,284314,288869,290776,291629,",0,PLCXD1,cmpl,cmpl,"-1,0,1,0,0,"
ENST00000445062.6,chrX,+,281054,288869,284187,288869,4,"281054,281481,284166,288732,","281121,281684,284314,288869,",0,PLCXD1,cmpl,cmpl,"-1,-1,0,1,"
ENST00000429181.6,chrX,+,281193,288787,284187,288787,4,"281193,281481,284166,288732,","281256,281684,284314,288787,",0,PLCXD1,cmpl,cmpl,"-1,-1,0,1,"
ENST00000381657.8,chrX,+,281380,303356,284187,299335,7,"281380,284166,288732,290647,291498,293034,299096,","281684,284314,288869,290776,291654,293218,303356,",0,PLCXD1,cmpl,cmpl,"-1,0,1,0,0,0,1,"
ENST00000443019.6,chrX,+,283162,288829,284187,288829,3,"283162,284166,288732,","283201,284314,288829,",0,PLCXD1,cmpl,cmpl,"-1,0,1,"
ENST00000415337.6,chrX,+,283464,291639,284187,291639,5,"283464,284166,288732,290647,291498,","283488,284314,288869,290776,291639,",0,PLCXD1,cmpl,cmpl,"-1,0,1,0,0,"
ENST00000447472.6,chrX,+,283478,291629,284187,291629,5,"283478,284166,288732,290647,291498,","283520,284314,288869,290776,291629,",0,PLCXD1,cmpl,cmpl,"-1,0,1,0,0,"
ENST00000448477.6,chrX,+,283733,290757,284187,290757,3,"283733,288732,290647,","284314,288869,290757,",0,PLCXD1,cmpl,cmpl,"0,1,0,"
ENST00000485332.7,chrX,-,304528,312463,304528,304528,4,"304528,307359,307731,311418,","305197,307512,307880,312463,",0,GTPBP6,none,none,"-1,-1,-1,-1,"
ENST00000326153.10,chrX,-,304758,318796,305073,318787,10,"304758,307359,307731,311418,312765,314149,314889,315228,316913,318438,","305197,307512,307880,311627,312924,314217,315020,315299,317051,318796,",0,GTPBP6,cmpl,cmpl,"2,2,0,1,1,2,0,1,1,0,"
ENST00000391707.7,chrX,+,320989,321851,320989,320989,2,"320989,321682,","321248,321851,",0,LINC00685,none,none,"-1,-1,"
ENST00000390665.9,chrX,-,333932,386907,334366,386691,13,"333932,338603,338777,340764,341306,341882,345515,346173,346700,347233,347589,361404,386367,","334517,338710,338896,340940,341396,341931,345672,346260,346775,347336,347693,361590,386907,",0,PPP2R3B,cmpl,cmpl,"2,0,1,2,2,1,0,0,0,2,0,0,0,"
ENST00000479438.6,chrX,-,334234,341711,334234,334234,5,"334234,338603,338777,340764,341306,","334517,338710,338896,340940,341711,",0,PPP2R3B,none,none,"-1,-1,-1,-1,-1,"
ENST00000477110.6,chrX,-,334238,347324,334238,334238,8,"334238,338777,340764,341306,345515,346173,346700,347233,","338710,338896,340940,341931,345672,346260,346775,347324,",0,PPP2R3B,none,none,"-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000468169.6,chrX,-,338612,345629,338612,338612,5,"338612,340764,341306,341882,345515,","338896,340940,341396,341931,345629,",0,PPP2R3B,none,none,"-1,-1,-1,-1,-1,"
ENST00000484364.6,chrX,-,340764,345626,340764,340764,4,"340764,341306,341882,345515,","340940,341396,342237,345626,",0,PPP2R3B,none,none,"-1,-1,-1,-1,"
ENST00000477636.6,chrX,-,341910,346514,341910,341910,3,"341910,345515,346173,","341931,345672,346514,",0,PPP2R3B,none,none,"-1,-1,-1,"
ENST00000445792.7,chrX,-,344895,386955,344895,344895,8,"344895,346173,346700,347233,347589,361404,362254,386367,","345672,346260,346775,347336,347693,361590,362332,386955,",0,PPP2R3B,none,none,"-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000496630.6,chrX,-,346636,361516,346636,346636,4,"346636,347233,347589,361404,","346775,347336,347693,361516,",0,PPP2R3B,none,none,"-1,-1,-1,-1,"
ENST00000475859.6,chrX,-,346719,347838,346719,346719,3,"346719,347233,347589,","346775,347336,347838,",0,PPP2R3B,none,none,"-1,-1,-1,"
ENST00000381625.9,chrX,-,347610,374044,347610,373771,3,"347610,361404,373531,","347693,361590,374044,",0,PPP2R3B,cmpl,cmpl,"0,0,0,"
ENST00000627721.3,chrX,+,386979,405579,386979,386979,2,"386979,405406,","387290,405579,",0,ENSG00000281849,none,none,"-1,-1,"
ENST00000610676.5,chrX,-,388099,388389,388099,388099,1,"388099,","388389,",0,Metazoa_SRP,none,none,"-1,"
ENST00000627627.3,chrX,+,419156,421980,419156,419156,2,"419156,421671,","419362,421980,",0,ENSG00000280767,none,none,"-1,-1,"
ENST00000381578.6,chrX,+,624343,646823,630897,644636,6,"624343,630465,634617,640820,640998,644390,","624602,631174,634826,640878,641087,646823,",0,SHOX,cmpl,cmpl,"-1,0,1,0,1,0,"
